杜门不出	dmbc
风云莫测	fymc
花边文学	hbwx
惶惑不安	hhba
积健为雄	jjwx
进攻姿态	jgzt
口角流涎	kjlx
流血漂杵	lxpc
呕哑嘲哳	oyzz
三年两载	snlz
双眉紧锁	smjs
天道无常	tdwc
揎拳捋袖	xqlx
相与为一	xywy
心存不轨	xcbg
学剑不成	xjbc
血肉淋漓	xrll
一睹风采	ydfc
酌盈剂虚	zyjx
钻燧取火	zsqh
彻底垮台	cdkt
闪烁其辞	ssqc
北风其凉	bfql
北流活活	blhh
必也射乎	bysh
伯牙鼓琴	bygq
彼亦是也	bysy
博学于文	bxyw
不撤姜食	bcjs
不霁何虹	bjhh
不居其华	bjqh
不骏其德	bjqd
不可休息	bkxx
不可则止	bkzz
不著一字	bzyz
采采衣服	ccyf
德之贼也	dzzy
东方之日	dfzr
断碣残碑	djcb
二不孝也	ebxy
逢彼之怒	fbzn
复道行空	fdhk
服周之冕	fzzm
孤馆灯青	ggdq
归于其室	gyqs
何德之衰	hdzs
合从缔交	hzdj
获罪于天	hzyt
既得其母	jdqm
见此邂逅	jcxh
江河横溢	jhhy
今我不乐	jwbl
九国之师	jgzs
岂弟君子	kdjz
凯风自南	kfzn
立而饮之	leyz
聊乐我员	llwy
麻衣如雪	myrx
明道若昧	mdrm
南取汉中	nqhz
朋友有信	pyyx
其安易持	qayc
其鬼不神	qgbs
其为惑也	qwhy
其雨其雨	qyqy
其在道也	qzdy
其知弥少	qzms
其中有象	qzyx
褰裳涉溱	qssq
顷筐塈之	qkxz
人而不仁	rebr
日之夕矣	rzxy
三年不出	snbc
三年之丧	snzs
伤如之何	srzh
生乎吾后	shwh
生乎吾前	shwq
声闻于野	swyy
是不为也	sbwy
是可忍也	skry
实劳我心	slwx
使民战栗	smzl
是谓道纪	swdj
事文类聚	swlj
是亦彼也	syby
十有七年	syqn
士志于道	szyd
守柔曰强	sryq
孰知其极	szqj
斯仁至矣	srzy
四月秀葽	syxy
送子涉淇	szsq
苏子愀然	szqr
天下神器	txsq
天下有始	txys
天尊地卑	tzdb
望月怀远	wyhy
往而不返	webf
为人君者	wrjz
我马玄黄	wmxh
我仆痡矣	wppy
我心悄悄	wxqq
我心则降	wxzj
无道则隐	wdzy
无物之象	wwzx
吾以观复	wygf
无逾我墙	wywq
夏日消溶	xrxr
小儿时节	xesj
修之于身	xzys
雪月交光	xyjg
亦泛其流	yfql
衣裳楚楚	yscc
亦有兄弟	yyxd
以知其子	yzqz
因是因非	ysyf
用心躁也	yxzy
有车之用	yczy
于林之下	ylzx
与朋友共	ypyg
雨我公田	ywgt
与物反矣	ywfy
爰得我所	ydws
爰居爰处	yjyc
在其板屋	zqbw
赠裴十四	zpss
战则必胜	zzbs
直走咸阳	zzxy
终不解矣	zbjy
至于顿丘	zydq
众人熙熙	zrxx
中人以上	zrys
子不我思	zbws
自我徂尔	zwce
子之清扬	zzqy
罪在朕躬	zzzg
本小利薄	bxlb
笔诛口伐	bzkf
薄情无义	bqwy
不可教训	bkjx
裁弯取直	cwqz
残杀无辜	cswg
赤练王蛇	clws
出乖露丑	cglc
多言数穷	dysq
各怀异心	ghyx
含羞带怯	hxdq
汉字草书	hzcs
好梦不长	hmbc
虺蜴为心	hywx
唧唧喳喳	jjzz
极品家丁	jpjd
苦痛之路	ktzl
麻风侏儒	mfzr
冥昭瞢闇	mzma
青松落色	qsls
杀人劫财	srjc
盛名难副	smnf
诉诸舆论	szyl
肆虐横行	snhx
天地长久	tdcj
温水煮蛙	wszw
五藏六府	wclf
污七八糟	wqbz
咸有一德	xyyd
相思入骨	xsrg
心灵震颤	xlzc
应付裕如	yfyr
原生材料	yscl
卓然成家	zrcj
左辅右弼	zfyb
本末颠倒	bmdd
别看他小	bktx
没人领情	mrlq
腰杆子硬	ygzy
一吹就散	ycjs
扎不下根	zbxg
灞陵伤别	blsb
八月剥枣	bybz
百亩之田	bmzt
不亦悲乎	bybh
百越之君	byzj
彼出于是	bcys
不贵其师	bgqs
不见子都	bjzd
不食五谷	bswg
不应回首	byhs
采蘩祁祁	cfqq
苍蝇之声	cyzs
朝避猛虎	cbmh
臣以险衅	cyxx
春服既成	cfjc
辞楼下殿	clxd
当今之时	djzs
顿失滔滔	dstt
而贵食母	egsm
而听细说	etxs
二子乘舟	ezcz
防有鹊巢	fyqc
非道也哉	fdyz
匪我思且	fwsq
非阴非阳	fyfy
分司东都	fsdd
福履绥之	flsz
敢用玄牡	gyxm
高低冥迷	gdmm
隔离天日	gltr
鼓瑟鼓琴	gsgq
故无弃人	gwqr
故无弃物	gwqw
管弦呕哑	gxoy
和杨元素	hyys
胡能有定	hnyd
黄帝得之	hddz
浑浑沌沌	hhdd
或强或羸	hqhl
惑之不解	hzbj
鸡既鸣矣	jjmy
将欲歙之	jysz
介尔景福	jejf
皆为龙虎	jwlh
禁火三日	jhsr
可得闻乎	kdwh
可名于小	kmyx
可谓孝矣	kwxy
鹿鸣之什	lmzs
绿竹青青	lzqq
马蹄声碎	mtss
民有饥色	myjs
明月半墙	mybq
乃见狂且	njkq
内立法度	nlfd
年年柳色	nnls
其脆易泮	qcyp
其德乃普	qdnp
其日固久	qrgj
其微易散	qwys
岂无他士	qwts
岂虚言哉	qxyz
七月食瓜	qysg
请以战喻	qyzy
请以剑舞	qyjw
丘峦崩摧	qlbc
人亦有言	ryyy
仁者安仁	rzar
仁之端也	rzdy
人之所教	rzsj
輮以为轮	rywl
如此江山	rcjs
如山如河	rsrh
三日而死	sres
三星在隅	sxzy
善复为妖	sfwy
善人之宝	srzb
逝将去女	sjqn
是禽兽也	sqsy
是谓不道	swbd
是为得之	swdz
使于四方	sysf
十月之交	syzj
受侮不少	swbs
孰为此者	swcz
谁谓荼苦	swtk
谁知我心	szwx
死当结草	sdjc
顺水行舟	ssxz
夙遭闵凶	szmx
虽有荣观	syrg
天下之言	txzy
瓦缝参差	wfcc
万方有罪	wfyz
望之俨然	wzyr
为民立极	wmlj
薇亦作止	wyzz
维叶萋萋	wyqq
未云何龙	wyhl
我马虺隤	wmht
我马瘏矣	wmty
我心匪鉴	wxfj
我心则夷	wxzy
五步一楼	wbyl
无思不服	wsbf
无所可用	wsky
物无非是	wwfs
吾已矣夫	wyyf
无以立也	wyly
无以下体	wyxt
无逾我里	wywl
